date,type,buyer,target,deal_value_millions,focus,strategic_rationale
2018-09-01,Partnership,Pfizer,Sickle cell biotech,450,Drug development,Expand rare disease portfolio
2019-06-15,Acquisition,Bristol Myers Squibb,Global Blood Therapeutics (partial),2800,Commercial expansion,Gain commercial presence
2020-03-20,Licensing,Novartis,Gene therapy company,900,Platform acquisition,Gene therapy capabilities
2021-01-10,Partnership,Vertex,CRISPR Therapeutics,900,Co-development,CRISPR leadership
2021-08-25,Investment,Roche,Gene editing startup,150,Platform investment,Early access to platform
2022-04-12,Partnership,Gilead,Gene therapy platform,300,Platform acquisition,Expand gene therapy
2022-11-30,Acquisition,Pfizer,Rare disease company,1200,Portfolio expansion,Rare disease focus
2023-06-20,Licensing,Sanofi,Biotech startup,85,Early-stage assets,Pipeline building
2023-12-15,Partnership,Novartis,Diagnostic company,200,Diagnostic expansion,Diagnostic integration
2024-03-01,Investment,Johnson & Johnson,Gene therapy startup,75,Early-stage investment,Early-stage access
