company,ticker,market_cap_billions,sickle_cell_investment_type,key_asset,investment_stage,annual_rd_spending_billions,sickle_cell_rd_allocation_percent,partnerships_count,estimated_scd_revenue_millions
Novartis,NVS,185,Direct Drug Development,Adakveo (crizanlizumab),Commercial,10.2,2.5,5,250
Pfizer,PFE,250,Partnership/Licensing,Multiple partnerships,Clinical,12.5,1.8,8,180
Bristol Myers Squibb,BMY,110,Acquisition,Various acquired drugs,Commercial,9.8,3.2,12,320
Gilead Sciences,GILD,85,Partnership,Partnered gene therapy,Clinical,5.2,1.5,4,95
Sanofi,SNY,135,Clinical Trials,Multiple candidates,Clinical,6.8,2.0,6,45
Roche,RHHBY,210,Diagnostic Partnership,Diagnostics platform,Preclinical,14.5,0.8,3,20
Johnson & Johnson,JNJ,380,R&D Investment,J&J Innovation investments,R&D,15.2,1.2,7,80
Merck (MSD),MRK,275,Clinical Trials,Clinical pipeline,Clinical,28.5,1.0,2,35
AstraZeneca,AZN,195,Research Collaboration,Research programs,Preclinical,9.5,0.5,3,15
Eli Lilly,LLY,420,R&D Investment,Discovery programs,R&D,8.2,0.3,1,10
