company,stage,focus,sickle_cell_relevance,funding_amount_millions,valuation_millions,clinical_stage,years_to_ipo
Editas Medicine,Series B,CRISPR gene editing,High,120,1200,Phase 1/2,3
Beam Therapeutics,Series C,Base editing,Medium,180,3500,Phase 1,2
Mammoth Biosciences,Series B,CRISPR diagnostics,Low,95,800,Preclinical,4
Intellia Therapeutics,Series A,CRISPR therapeutics,High,55,450,Phase 1,5
Caribou Biosciences,Series B,CRISPR gene editing,Medium,85,650,Preclinical,4
Graphite Bio,Series B,Gene correction,High,70,500,Phase 1,3
Metagenomi,Series A,CRISPR discovery,Low,40,300,Preclinical,6
Synthego,Series B,CRISPR tools,Medium,65,400,Preclinical,4
Epic Bio,Series A,Gene regulation,Low,30,200,Preclinical,5
LocanaBio,Series A,RNA editing,Low,25,150,Preclinical,6
