company,stage,focus,sickle_cell_relevance,funding_amount_millions,valuation_millions,clinical_stage,years_to_ipo
Bluebird Bio,Series C,Lentiviral gene therapy,High,250,2800,Phase 3,2
CRISPR Therapeutics,Series D,CRISPR gene editing,High,300,4500,Phase 3,1
Global Blood Therapeutics,Series C,Small molecule SCD treatment,High,200,1500,Phase 3,1
Editas Medicine,Series C,CRISPR gene editing,High,150,1200,Phase 1/2,3
Intellia Therapeutics,Series C,CRISPR therapeutics,High,175,1800,Phase 1,2
Sangamo Therapeutics,Series D,Zinc finger nucleases,Medium,120,800,Phase 2,4
Vertex Pharmaceuticals,Series D,CRISPR gene editing,High,400,8500,Phase 3,0
Beam Therapeutics,Series C,Base editing,Medium,180,2000,Phase 1,3
Graphite Bio,Series C,Gene correction,High,160,800,Phase 1,3
Mammoth Biosciences,Series B,CRISPR diagnostics,Low,95,900,Preclinical,4
